jv_spec_mie.dat: Aerosol optical properties at 5 wavelengths (clh, 01/30/10)
================================================================================
NW-SCATTER   56  ! Scattering phase fns, scale extinct @ 999 nm    (mjp 99/07)
W(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
  200  3.0158  0.372  1.0000  1.000 2.353 3.310 3.566 3.702 3.607 3.433 3.241
  300  3.0158  0.372  1.0000  1.000 2.353 3.310 3.566 3.702 3.607 3.433 3.241
  400  3.0937  0.372  1.0000  1.000 2.431 3.365 3.632 3.624 3.372 3.000 2.614
  600  2.4069  0.372  1.0000  1.000 2.421 3.184 3.245 2.968 2.489 1.975 1.508
 1000  1.1240  0.372  0.9999  1.000 2.216 2.530 2.138 1.598 1.069 0.685 0.055
49 SSa99(rvm) Sea Salt (accum), RH=99 (n@550=1.33 log-norm: r=.41um/sigma=1.5)
  200  2.4962  0.613  1.0000  1.000 2.281 3.326 3.596 4.004 4.178 4.400 4.581
  300  2.4962  0.613  1.0000  1.000 2.281 3.326 3.596 4.004 4.178 4.400 4.581
  400  2.8177  0.613  1.0000  1.000 2.347 3.351 3.646 3.877 3.897 3.869 3.813
  600  3.0999  0.613  1.0000  1.000 2.452 3.433 3.763 3.818 3.628 3.306 2.953
 1000  2.2905  0.613  1.0000  1.000 2.435 3.205 3.275 2.994 2.510 1.990 1.516
50 SSc00(rvm) Sea Salt (coarse), RH=00 (n@550=1.50 log-norm: r=0.4um/sigma=1.8)
  200  2.3435  0.952  0.9999  1.000  2.19  3.22  3.36  4.18  4.28  4.97  5.15
  300  2.3435  0.952  0.9999  1.000  2.19  3.22  3.36  4.18  4.28  4.97  5.15
  400  2.4489  0.952  1.0000  1.000  2.13  3.10  3.17  3.85  3.88  4.37  4.46
  600  2.6771  0.952  1.0000  1.000  2.08  2.93  2.90  3.29  3.19  3.36  3.30
 1000  2.8998  0.952  0.9985  1.000  2.13  2.82  2.72  2.71  2.43  2.22  2.00
51 SSc50(rvm) Sea Salt (coarse), RH=50 (n@550=1.37 log-norm: r=0.6um/sigma=1.8)
  200  2.2492  1.534  1.0000  1.000  2.40  3.60  4.03  4.74  5.13  5.71  6.25
  300  2.2492  1.534  1.0000  1.000  2.40  3.60  4.03  4.74  5.13  5.71  6.25
  400  2.3182  1.534  1.0000  1.000  2.36  3.51  3.89  4.52  4.86  5.32  5.75
  600  2.4842  1.534  1.0000  1.000  2.31  3.37  3.67  4.13  4.31  4.57  4.79
 1000  2.7678  1.534  0.9994  1.000  2.33  3.29  3.52  3.71  3.66  3.58  3.49
52 SSc70(rvm) Sea Salt (coarse), RH=70 (n@550=1.36 log-norm: r=0.7um/sigma=1.8)
  200  2.2293  1.725  1.0000  1.000  2.42  3.65  4.13  4.83  5.27  5.85  6.43
  300  2.2293  1.725  1.0000  1.000  2.42  3.65  4.13  4.83  5.27  5.85  6.43
  400  2.2898  1.725  1.0000  1.000  2.39  3.58  4.01  4.65  5.03  5.52  5.99
  600  2.4343  1.725  1.0000  1.000  2.34  3.44  3.79  4.28  4.53  4.83  5.10
 1000  2.7189  1.725  0.9995  1.000  2.34  3.34  3.62  3.86  3.87  3.85  3.82
53 SSc80(rvm) Sea Salt (coarse), RH=80 (n@550=1.35 log-norm: r=0.8um/sigma=1.8)
  200  2.2140  1.899  1.0000  1.000  2.45  3.69  4.20  4.90  5.38  5.96  6.57
  300  2.2140  1.899  1.0000  1.000  2.45  3.69  4.20  4.90  5.38  5.96  6.57
  400  2.2684  1.899  1.0000  1.000  2.41  3.62  4.09  4.74  5.16  5.66  6.17
  600  2.3962  1.899  1.0000  1.000  2.36  3.49  3.87  4.39  4.69  5.03  5.34
 1000  2.6723  1.899  0.9996  1.000  2.35  3.38  3.68  3.97  4.03  4.06  4.08
54 SSc90(rvm) Sea Salt (coarse), RH=90 (n@550=1.34 log-norm: r=1.0um/sigma=1.8)
  200  2.1887  2.274  1.0000  1.000  2.48  3.75  4.31  5.01  5.54  6.13  6.79
  300  2.1887  2.274  1.0000  1.000  2.48  3.75  4.31  5.01  5.54  6.13  6.79
  400  2.2336  2.274  1.0000  1.000  2.45  3.70  4.23  4.88  5.37  5.89  6.46
  600  2.3331  2.274  1.0000  1.000  2.39  3.57  4.02  4.59  4.96  5.36  5.76
 1000  2.5766  2.274  0.9997  1.000  2.36  3.44  3.79  4.15  4.30  4.44  4.55
55 SSc95(rvm) Sea Salt (coarse), RH=95 (n@550=1.34 log-norm: r=1.2um/sigma=1.8)
  200  2.1641  2.780  1.0000  1.000  2.51  3.80  4.41  5.11  5.68  6.29  7.00
  300  2.1641  2.780  1.0000  1.000  2.51  3.80  4.41  5.11  5.68  6.29  7.00
  400  2.2020  2.780  1.0000  1.000  2.48  3.76  4.35  5.01  5.56  6.10  6.73
  600  2.2780  2.780  1.0000  1.000  2.43  3.66  4.17  4.77  5.22  5.68  6.16
 1000  2.4698  2.780  0.9997  1.000  2.37  3.50  3.90  4.34  4.59  4.84  5.06
56 SSc99(rvm) Sea Salt (coarse), RH=99 (n@550=1.33 log-norm: r=2.0um/sigma=1.8)
  200  2.1146  4.669  1.0000  1.000  2.55  3.89  4.57  5.27  5.92  6.56  7.37
  300  2.1146  4.669  1.0000  1.000  2.55  3.89  4.57  5.27  5.92  6.56  7.37
  400  2.1402  4.669  1.0000  1.000  2.54  3.88  4.55  5.23  5.87  6.46  7.21
  600  2.1865  4.669  1.0000  1.000  2.51  3.82  4.45  5.10  5.69  6.23  6.88
 1000  2.2787  4.669  0.9998  1.000  2.44  3.68  4.22  4.81  5.28  5.72  6.19
C============================end of scattering data==========================
